关键词,博主,内容,日期,点赞数,评论数,转发数
开学 返校 复学,iBingo,#开学后宿舍的现状#开学后的宿舍，慎入。 ,2020-05-13,10,5,1
开学 返校 复学,北京眼科医生陶勇,你们那里什么时候开学？,2020-05-13,1621,584,30
开学 返校 复学,iBingo,#山东开学时间#山东开学时间确定，从5月18日起陆续开学，家家户户又回到了安静祥和的画面，家长们脸上乐开了花 ,2020-05-14,3,1,1
开学 返校 复学,iBingo,#开学后宿舍的现状#开学后的男生寝室，用花香味洗衣液洗内裤的后果 ,2020-05-14,212,49,7
开学 返校 复学,林光明_LGM,#山东开学时间# 终于可以开学了，神兽归笼·岁月静好！结束历史以来最长的寒假。#开学# ,2020-05-14,8,12,0
开学 返校 复学,iBingo,一条微博编辑来编辑去，能从美国卡车运尸体＞＞斯洛文尼亚疫情结束＞＞华珠开学＞＞王者荣耀＞＞忘记28年房，也是六六六 iBingo的微博视频 ,2020-05-16,7,1,0
开学 返校 复学,老兔爷zy,#上海一二三年级和幼儿园6月2日开学#怪兽归笼，天下安宁。相信这会是：那些＂家陪＂的爷爷奶奶姥姥姥爷，今年听到的最美的好消息。 ,2020-05-16,1,0,0
开学 返校 复学,iBingo,昨天上海、河北开学时间确定，山东孩子们难啊，说好的10天缩水了，有学生建议#山东非毕业年级别开学# ，你怎么看。 ,2020-05-17,546,88,11
开学 返校 复学,王道蓬,看到这个新闻笑死了，还没开学就准备放假了,2020-05-18,0,0,0
开学 返校 复学,小岛千晴,#鸭苗の日漂# 开学后，当时我还是全班唯一一个中国人，日语词汇和文法中又是大量取材于中华文化，感觉我一个中国人学不会是真丢脸！由于羞耻心作祟，我立下了要当学霸的flag，于是开始每天埋头苦学，还真就让我连续4次考试都拿了全班第一（全班也就11人，有3人跟我并列第一哈哈哈哈哈）anyway，为国 ...全文,2020-05-19,18,1,0
开学 返校 复学,小短腿夏酱,生活迎来了曙光！//@越哥越哥大哥大:@小短腿夏酱 开学！！！！,2020-05-19,20,10,0
开学 返校 复学,小短腿夏酱,上午带夏夏参观了一个新开的幼儿园，8月份开学，刚装修完还没完全完善好，目前看到就是空间巨大，户外的活动区已经是超级大了一眼望不到头，有沙坑山洞、大小滑梯、轮胎区音乐区，还有很大的戏水区和种植区。室内的教室和各种专题课室也很大，有舞蹈室、美术室、烘焙室、科学馆、绘本馆、礼堂等等。 ...全文,2020-05-21,182,266,41
开学 返校 复学,侃侃而谈zp,#湖北高校毕业年级6月8日起返校#   湖北高校毕业年级6月8日起返校严格地说，这个安排已经不叫“春季开学安排”了，因为彼时季节上显然已经骄阳似火，而不是春意融融      高校毕业其实很需要仪式感，该聚餐喝酒的必须聚餐喝酒，该拥抱吻别的必须拥抱吻别，该道歉和解的就道歉和解 ...全文,2020-05-25,2,0,0
开学 返校 复学,小短腿夏酱,刚刚快递小哥来取件，说起开学了，他长叹一口气：女儿开学了也烦，一天接送四次，中午不准托管。我安慰他：你们算好的了，双胞胎一次接两个很划算，人家不同年级的两个娃要接八次怎么办。 ,2020-05-26,66,23,0
开学 返校 复学,小短腿夏酱,确定了！日托6月8开学！而且通知我们说2月1日到现在的课时都可以延用！ 但是我办公室同事的女儿上的公立幼儿园就说要9月1才开学，她在考虑要不要去私立上两个月先。 ,2020-05-29,28,23,1
